name,dataset,category,1_{no repeated values},1_{distinct values occur equally often},1_{regularly spaced intervals},1_{interval width divides range},type,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,topology,id,1,1,0,0,str,,,,,,,,,,
X,topology,real,0,1,0,0,float,,real,,,,,,,,
Y,topology,real,0,0,0,0,float,,real,,,,,,,,
Packet count,topology,real,0,0,0,0,int,,real,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,Algal Bloom: Exp Conditions,id,1,1,1,1,int,,,,,,,,,,
Condition,Algal Bloom: Exp Conditions,real,1,1,1,1,int,,real,,,,,,,,
Phosph,Algal Bloom: Exp Conditions,ordinal,0,1,1,1,str,,ordinal,,,,,,,,
Nitrog,Algal Bloom: Exp Conditions,ordinal,0,1,1,1,str,,ordinal,,,,,,,,
Carbon,Algal Bloom: Exp Conditions,ordinal,0,1,1,1,str,,ordinal,,,,,,,,
Day 4,Algal Bloom: Exp Conditions,real,1,1,0,0,float,,real,,,,,,,,
Day 6,Algal Bloom: Exp Conditions,real,1,1,0,0,float,,real,,,,,,,,
Day 8,Algal Bloom: Exp Conditions,real,1,1,0,0,float,,real,,,,,,,,
Day 10,Algal Bloom: Exp Conditions,real,1,1,0,0,float,,real,,,,,,,,
id,Measurements,id,1,1,1,1,int,,,,,,,,,,
Condition,Measurements,real,0,1,1,1,int,,real,,,,,,,,
Phosph,Measurements,ordinal,0,1,1,1,str,,ordinal,,,,,,,,
Nitrog,Measurements,ordinal,0,1,1,1,str,,ordinal,,,,,,,,
Carbon,Measurements,ordinal,0,1,1,1,str,,ordinal,,,,,,,,
Algal Count,Measurements,real,0,0,0,0,float,,real,,,,,,,,
Day,Measurements,real,0,1,1,1,int,,real,,,,,,,,
source,Lines for Exp Cond,real,0,0,1,1,int,,,,,,,,,,
destination,Lines for Exp Cond,real,0,0,1,1,int,,,,,,,,,,
source,Lines for Meas,real,0,0,1,1,int,,,,,,,,,,
destination,Lines for Meas,real,0,0,1,1,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,buckyball nodes,id,1,1,1,1,int,,,,,,,,,,
v1,buckyball nodes,real,1,1,0,0,float,,real,,,,,,,,
v2,buckyball nodes,real,1,1,0,0,float,,real,,,,,,,,
v3,buckyball nodes,real,1,1,0,0,float,,real,,,,,,,,
source,edges,real,0,0,0,0,int,,,,,,,,,,
destination,edges,real,0,0,0,0,int,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,cube6,id,1,1,1,1,int,,,,,,,,,,
D1,cube6,real,0,1,1,1,int,,real,,,,,,,,
